,id,TP,FP,FN,Prec,Rec,F1
0,angin_topan_0002,0,0,1,0,0,0
1,angin_topan_0003,0,2,1,0,0,0
2,angin_topan_0006,1,0,0,1.0,1.0,1.0
3,angin_topan_0007,0,1,1,0,0,0
4,angin_topan_0008,0,1,1,0,0,0
5,angin_topan_0019,1,1,1,0.5,0.5,0.5
6,angin_topan_0020,1,1,0,0.5,1.0,0.6666666666666666
7,angin_topan_0021,0,0,1,0,0,0
8,angin_topan_0027,1,0,0,1.0,1.0,1.0
9,angin_topan_0028,2,2,0,0.5,1.0,0.6666666666666666
10,angin_topan_0032,0,1,1,0,0,0
11,angin_topan_0046,0,1,1,0,0,0
12,angin_topan_0047,0,2,1,0,0,0
13,angin_topan_0048,1,2,1,0.3333333333333333,0.5,0.4
14,angin_topan_0049,1,0,0,1.0,1.0,1.0
15,angin_topan_0055,1,3,3,0.25,0.25,0.25
16,angin_topan_0065,0,1,1,0,0,0
17,angin_topan_0070,1,2,1,0.3333333333333333,0.5,0.4
18,angin_topan_0091,0,1,1,0,0,0
19,angin_topan_0096,0,0,1,0,0,0
20,angin_topan_0108,1,0,0,1.0,1.0,1.0
21,angin_topan_0119,1,1,0,0.5,1.0,0.6666666666666666
22,angin_topan_0121,1,0,2,1.0,0.3333333333333333,0.5
23,angin_topan_0127,0,2,1,0,0,0
24,angin_topan_0140,1,0,0,1.0,1.0,1.0
25,angin_topan_0156,1,1,0,0.5,1.0,0.6666666666666666
26,angin_topan_0163,0,0,1,0,0,0
27,angin_topan_0168,0,0,1,0,0,0
28,angin_topan_0170,0,1,1,0,0,0
29,angin_topan_0175,0,0,1,0,0,0
30,angin_topan_0179,1,0,0,1.0,1.0,1.0
31,angin_topan_0183,0,0,1,0,0,0
32,angin_topan_0189,0,0,1,0,0,0
33,angin_topan_0193,0,1,1,0,0,0
34,angin_topan_0208,0,2,2,0,0,0
35,angin_topan_0220,0,0,1,0,0,0
36,angin_topan_0227,1,1,0,0.5,1.0,0.6666666666666666
37,angin_topan_0233,0,1,1,0,0,0
38,angin_topan_0239,1,0,0,1.0,1.0,1.0
39,angin_topan_0242,0,2,1,0,0,0
40,angin_topan_0251,0,1,1,0,0,0
41,angin_topan_0257,0,0,1,0,0,0
42,angin_topan_0272,1,3,1,0.25,0.5,0.3333333333333333
43,angin_topan_0275,0,0,1,0,0,0
44,angin_topan_0285,0,1,1,0,0,0
45,angin_topan_0286,0,0,1,0,0,0
46,angin_topan_0299,0,0,1,0,0,0
