,0,1,2,3,4,5,6,7
bencana,an,ba,er,ge,ka,ke,lo,ts
title_ori_MLP_acc,0.935,0.83,0.875,0.83,0.855,0.85,0.85,0.835
title_ori_MLP_f1,0.8470588235294118,0.6304347826086957,0.46808510638297873,0.5277777777777777,0.7478260869565218,0.5833333333333334,0.6739130434782609,0.6526315789473683
text_ori_MLP_acc,0.905,0.895,0.935,0.885,0.91,0.87,0.815,0.875
text_ori_MLP_f1,0.8155339805825242,0.8235294117647058,0.7999999999999999,0.7850467289719625,0.85,0.74,0.7375886524822695,0.7933884297520661
tc_ori_MLP_acc,0.91,0.905,0.92,0.86,0.91,0.885,0.815,0.915
tc_ori_MLP_f1,0.8163265306122449,0.8288288288288288,0.7419354838709677,0.7543859649122807,0.8333333333333334,0.7578947368421053,0.7338129496402879,0.8411214953271028
filter_word_tc_MLP_acc,0.87,0.77,0.845,0.815,0.825,0.865,0.805,0.835
filter_word_tc_MLP_f1,0.6388888888888888,0.32352941176470584,0.1621621621621622,0.32727272727272727,0.6846846846846847,0.4905660377358491,0.48,0.5714285714285715
textrank_MLP_acc,0.9,0.86,0.875,0.84,0.82,0.9,0.805,0.88
textrank_MLP_f1,0.7368421052631579,0.72,0.4444444444444445,0.5151515151515151,0.7049180327868853,0.6875,0.6138613861386139,0.7446808510638298
trunc_first_short_MLP_acc,0.93,0.87,0.89,0.885,0.885,0.905,0.865,0.9
trunc_first_short_MLP_f1,0.8333333333333333,0.7346938775510203,0.56,0.7160493827160493,0.8099173553719008,0.7466666666666666,0.7157894736842104,0.8
trunc_last_short_MLP_acc,0.85,0.86,0.88,0.815,0.85,0.845,0.82,0.895
trunc_last_short_MLP_f1,0.5454545454545454,0.6956521739130435,0.45454545454545453,0.3508771929824561,0.7169811320754718,0.5753424657534247,0.6538461538461539,0.7692307692307692
trunc_first_long_MLP_acc,0.915,0.89,0.92,0.925,0.92,0.905,0.855,0.91
trunc_first_long_MLP_f1,0.8089887640449438,0.7999999999999999,0.7142857142857143,0.8275862068965518,0.8596491228070176,0.7594936708860761,0.7184466019417476,0.8200000000000001
trunc_last_long_MLP_acc,0.88,0.83,0.895,0.88,0.865,0.875,0.845,0.85
trunc_last_long_MLP_f1,0.7073170731707318,0.6964285714285714,0.5882352941176471,0.7000000000000001,0.7476635514018691,0.6835443037974683,0.7350427350427351,0.7321428571428571
trunc_combination_MLP_acc,0.925,0.87,0.92,0.91,0.91,0.9,0.865,0.91
trunc_combination_MLP_f1,0.8235294117647058,0.7636363636363638,0.7419354838709677,0.7857142857142856,0.8474576271186439,0.7560975609756098,0.7567567567567567,0.8269230769230769
sum_indobart_MLP_acc,0.93,0.85,0.865,0.845,0.85,0.92,0.805,0.885
sum_indobart_MLP_f1,0.8205128205128205,0.6739130434782609,0.3720930232558139,0.537313432835821,0.7272727272727273,0.7647058823529411,0.5714285714285714,0.7628865979381444
sum_liputan6_MLP_acc,0.915,0.865,0.875,0.86,0.83,0.905,0.825,0.855
sum_liputan6_MLP_f1,0.7792207792207793,0.7157894736842105,0.4444444444444445,0.6000000000000001,0.6964285714285714,0.7164179104477612,0.631578947368421,0.6813186813186812
sum_pegasus_MLP_acc,0.845,0.77,0.85,0.845,0.775,0.87,0.745,0.83
sum_pegasus_MLP_f1,0.5507246376811594,0.4772727272727273,0.3181818181818182,0.523076923076923,0.6153846153846154,0.6176470588235294,0.42696629213483145,0.6458333333333334
