,0,1,2,3,4,5,6,7
title_ori_acc,0.92,0.85,0.88,0.83,0.835,0.85,0.86,0.855
text_ori_acc,0.915,0.845,0.85,0.84,0.82,0.895,0.81,0.835
filter_word_tc_acc,0.885,0.74,0.87,0.84,0.75,0.81,0.825,0.845
textrank_acc,0.85,0.865,0.87,0.815,0.79,0.86,0.775,0.875
sum_indobart_acc,0.88,0.86,0.855,0.855,0.83,0.86,0.78,0.815
sum_liputan6_acc,0.895,0.86,0.89,0.82,0.8,0.865,0.86,0.845
sum_pegasus_acc,0.785,0.735,0.835,0.82,0.745,0.87,0.74,0.765
tc_ori_acc,0.9,0.85,0.89,0.83,0.855,0.88,0.825,0.845
trunc_first_short_acc,0.94,0.83,0.89,0.865,0.89,0.925,0.835,0.86
trunc_last_short_acc,0.855,0.825,0.855,0.785,0.755,0.785,0.765,0.8
trunc_first_long_acc,0.94,0.865,0.89,0.87,0.88,0.88,0.845,0.895
trunc_last_long_acc,0.865,0.845,0.87,0.805,0.815,0.745,0.785,0.795
trunc_combination_acc,0.925,0.88,0.885,0.88,0.875,0.835,0.86,0.885
title_ori_f1,0.8333333333333333,0.6739130434782609,0.5384615384615384,0.5142857142857142,0.7401574803149606,0.5714285714285714,0.6956521739130435,0.7010309278350516
text_ori_f1,0.7901234567901234,0.6593406593406594,0.25,0.4666666666666667,0.7142857142857142,0.7123287671232877,0.6885245901639344,0.6024096385542168
filter_word_tc_f1,0.7088607594936709,0.07142857142857142,0.4347826086956522,0.5294117647058824,0.6527777777777777,0.5,0.631578947368421,0.6666666666666667
textrank_f1,0.5714285714285714,0.7326732673267328,0.45833333333333326,0.4931506849315069,0.65,0.6,0.6153846153846154,0.7191011235955055
sum_indobart_f1,0.7446808510638298,0.72,0.4313725490196078,0.6419753086419753,0.721311475409836,0.5757575757575758,0.6271186440677967,0.6542056074766355
sum_liputan6_f1,0.7272727272727272,0.7142857142857143,0.5925925925925927,0.5384615384615385,0.6491228070175439,0.64,0.6818181818181818,0.693069306930693
sum_pegasus_f1,0.3768115942028985,0.4536082474226804,0.35294117647058826,0.41935483870967744,0.5486725663716814,0.6285714285714286,0.36585365853658536,0.5436893203883495
tc_ori_f1,0.7435897435897436,0.6739130434782609,0.5217391304347826,0.5641025641025641,0.7387387387387387,0.6363636363636364,0.6236559139784946,0.6868686868686869
trunc_first_short_f1,0.85,0.575,0.65625,0.64,0.8035714285714286,0.8051948051948051,0.6972477064220183,0.6956521739130435
trunc_last_short_f1,0.5538461538461538,0.6601941747572815,0.3555555555555555,0.3768115942028985,0.47311827956989244,0.44155844155844154,0.5688073394495413,0.5652173913043478
trunc_first_long_f1,0.8636363636363636,0.7326732673267328,0.5925925925925927,0.6578947368421053,0.806451612903226,0.6923076923076923,0.693069306930693,0.7789473684210526
trunc_last_long_f1,0.6301369863013698,0.6804123711340206,0.40909090909090906,0.417910447761194,0.6605504587155964,0.28169014084507044,0.5981308411214954,0.5176470588235293
trunc_combination_f1,0.8235294117647058,0.7272727272727272,0.6229508196721312,0.6923076923076923,0.7787610619469025,0.5599999999999999,0.6888888888888889,0.7526881720430108
