,0,1,2,3,4,5,6,7
bencana,an,ba,er,ge,ka,ke,lo,ts
title_ori_MLP_acc,0.85,0.73,0.83,0.765,0.685,0.815,0.81,0.77
title_ori_MLP_f1,0.6666666666666666,0.0,0.0,0.0,0.5935483870967742,0.17777777777777778,0.5581395348837209,0.25806451612903225
text_ori_MLP_acc,0.8,0.79,0.83,0.775,0.79,0.855,0.74,0.76
text_ori_MLP_f1,0.2857142857142857,0.4166666666666667,0.0,0.0,0.6379310344827587,0.49122807017543857,0.037037037037037035,0.0
tc_ori_MLP_acc,0.815,0.8,0.83,0.775,0.805,0.855,0.74,0.76
tc_ori_MLP_f1,0.3728813559322034,0.4594594594594595,0.0,0.0,0.6929133858267716,0.45283018867924535,0.037037037037037035,0.0
filter_word_tc_MLP_acc,0.805,0.81,0.83,0.775,0.75,0.81,0.745,0.76
filter_word_tc_MLP_f1,0.29090909090909095,0.5869565217391304,0.0,0.0,0.3902439024390244,0.17391304347826086,0.10526315789473685,0.0
textrank_MLP_acc,0.81,0.795,0.83,0.775,0.755,0.815,0.765,0.76
textrank_MLP_f1,0.29629629629629634,0.4533333333333333,0.0,0.0,0.5739130434782609,0.09756097560975609,0.27692307692307694,0.0
trunc_first_short_MLP_acc,0.83,0.825,0.83,0.77,0.795,0.815,0.745,0.76
trunc_first_short_MLP_f1,0.4999999999999999,0.5454545454545454,0.0,0.0,0.6554621848739496,0.32727272727272727,0.10526315789473685,0.0
trunc_last_short_MLP_acc,0.77,0.79,0.83,0.775,0.75,0.81,0.75,0.76
trunc_last_short_MLP_f1,0.041666666666666664,0.5227272727272728,0.0,0.0,0.2857142857142857,0.17391304347826086,0.10714285714285715,0.0
trunc_first_long_MLP_acc,0.785,0.775,0.83,0.775,0.815,0.835,0.74,0.76
trunc_first_long_MLP_f1,0.1568627450980392,0.3283582089552239,0.0,0.0,0.6666666666666666,0.2666666666666667,0.037037037037037035,0.0
trunc_last_long_MLP_acc,0.795,0.825,0.83,0.775,0.78,0.81,0.76,0.76
trunc_last_long_MLP_f1,0.19607843137254902,0.6236559139784946,0.0,0.0,0.45000000000000007,0.13636363636363635,0.1724137931034483,0.039999999999999994
trunc_combination_MLP_acc,0.79,0.825,0.83,0.775,0.785,0.83,0.76,0.755
trunc_combination_MLP_f1,0.1923076923076923,0.5679012345679013,0.0,0.0,0.5825242718446602,0.34615384615384615,0.22580645161290322,0.0
sum_indobart_MLP_acc,0.815,0.82,0.83,0.78,0.77,0.825,0.76,0.76
sum_indobart_MLP_f1,0.32727272727272727,0.6666666666666666,0.0,0.08333333333333334,0.6101694915254238,0.46153846153846156,0.3142857142857143,0.0
sum_liputan6_MLP_acc,0.865,0.795,0.83,0.775,0.74,0.825,0.745,0.76
sum_liputan6_MLP_f1,0.5970149253731344,0.40579710144927533,0.0,0.0425531914893617,0.6119402985074627,0.4262295081967213,0.28169014084507044,0.0
sum_pegasus_MLP_acc,0.77,0.775,0.83,0.775,0.745,0.82,0.775,0.735
sum_pegasus_MLP_f1,0.0,0.5054945054945055,0.0,0.0,0.35443037974683544,0.25,0.3283582089552239,0.4421052631578947
