id,indeks_sentence_token,selisih_depth,jarak_keyword_lokasi_undir,jarak_keyword_lokasi_dir,is_connect_to_key,part
erupsi_0003,"(0, 2)",1.0,1.0,1.0,True,train
erupsi_0003,"(1, 5)",2.0,4.0,1000000000.0,False,train
erupsi_0003,"(1, 6)",1.0,5.0,1000000000.0,False,train
erupsi_0003,"(1, 8)",3.0,5.0,1000000000.0,False,train
erupsi_0003,"(1, 9)",2.0,6.0,1000000000.0,False,train
erupsi_0003,"(3, 8)",2.0,4.0,1000000000.0,False,train
erupsi_0003,"(3, 9)",1.0,5.0,1000000000.0,False,train
erupsi_0003,"(6, 4)",0.0,4.0,1000000000.0,False,train
erupsi_0003,"(6, 18)",1.0,4.0,1000000000.0,False,train
erupsi_0003,"(6, 19)",1.0,5.0,1000000000.0,False,train
erupsi_0003,"(12, 6)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0003,"(12, 7)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0003,"(12, 8)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0008,"(0, 2)",1.0,1.0,1.0,True,train
erupsi_0008,"(0, 3)",2.0,2.0,2.0,True,train
erupsi_0008,"(1, 24)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0008,"(1, 25)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0008,"(1, 26)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0008,"(1, 27)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0008,"(1, 32)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0008,"(1, 33)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0008,"(1, 35)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0008,"(1, 36)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0008,"(4, 9)",2.0,2.0,2.0,True,train
erupsi_0008,"(4, 10)",3.0,3.0,3.0,True,train
erupsi_0008,"(4, 12)",3.0,3.0,3.0,True,train
erupsi_0008,"(4, 18)",0.0,1.0,1.0,True,train
erupsi_0008,"(4, 19)",1.0,2.0,2.0,True,train
erupsi_0008,"(4, 21)",1.0,2.0,2.0,True,train
erupsi_0008,"(4, 22)",2.0,3.0,3.0,True,train
erupsi_0008,"(4, 24)",2.0,3.0,3.0,True,train
erupsi_0008,"(4, 25)",3.0,4.0,4.0,True,train
erupsi_0008,"(4, 29)",3.0,4.0,4.0,True,train
erupsi_0008,"(4, 30)",4.0,5.0,5.0,True,train
erupsi_0008,"(6, 40)",2.0,6.0,1000000000.0,False,train
erupsi_0008,"(6, 42)",0.0,4.0,1000000000.0,False,train
erupsi_0008,"(6, 45)",2.0,6.0,1000000000.0,False,train
erupsi_0008,"(6, 47)",3.0,7.0,1000000000.0,False,train
erupsi_0021,"(0, 0)",0.0,2.0,1000000000.0,False,train
erupsi_0021,"(0, 1)",1.0,3.0,1000000000.0,False,train
erupsi_0021,"(1, 0)",1.0,3.0,1000000000.0,False,train
erupsi_0021,"(1, 1)",0.0,4.0,1000000000.0,False,train
erupsi_0021,"(1, 4)",1.0,5.0,1000000000.0,False,train
erupsi_0021,"(1, 5)",2.0,6.0,1000000000.0,False,train
erupsi_0021,"(1, 6)",3.0,7.0,1000000000.0,False,train
erupsi_0021,"(2, 10)",1.0,3.0,1000000000.0,False,train
erupsi_0021,"(2, 26)",1.0,5.0,1000000000.0,False,train
erupsi_0021,"(2, 27)",2.0,6.0,1000000000.0,False,train
erupsi_0021,"(2, 28)",3.0,7.0,1000000000.0,False,train
erupsi_0021,"(2, 30)",0.0,4.0,1000000000.0,False,train
erupsi_0021,"(2, 31)",1.0,5.0,1000000000.0,False,train
erupsi_0021,"(2, 32)",2.0,6.0,1000000000.0,False,train
erupsi_0021,"(4, 1)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0021,"(4, 2)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0021,"(4, 3)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0021,"(5, 3)",1.0,1.0,1.0,True,train
erupsi_0021,"(5, 4)",2.0,2.0,2.0,True,train
erupsi_0027,"(0, 3)",0.0,3.0,1000000000.0,False,train
erupsi_0027,"(0, 4)",1.0,4.0,1000000000.0,False,train
erupsi_0027,"(1, 7)",1.0,3.0,1000000000.0,False,train
erupsi_0027,"(1, 8)",0.0,4.0,1000000000.0,False,train
erupsi_0027,"(4, 4)",0.0,2.0,1000000000.0,False,train
erupsi_0027,"(4, 5)",0.0,3.0,1000000000.0,False,train
erupsi_0027,"(4, 6)",1.0,4.0,1000000000.0,False,train
erupsi_0027,"(4, 7)",2.0,5.0,1000000000.0,False,train
erupsi_0027,"(5, 24)",0.0,7.0,1000000000.0,False,train
erupsi_0027,"(5, 25)",1.0,8.0,1000000000.0,False,train
erupsi_0027,"(7, 10)",0.0,4.0,1000000000.0,False,train
erupsi_0027,"(7, 11)",0.0,5.0,1000000000.0,False,train
erupsi_0027,"(9, 8)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0027,"(9, 9)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0050,"(0, 7)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0050,"(0, 8)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0050,"(1, 11)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0050,"(1, 12)",1000000000.0,1000000000.0,1000000000.0,False,train
erupsi_0050,"(2, 22)",0.0,2.0,1000000000.0,False,train
erupsi_0050,"(2, 23)",0.0,3.0,1000000000.0,False,train
