id,label
erupsi_0005,N
erupsi_0020,N
erupsi_0009,N
erupsi_0022,N
erupsi_0031,N
erupsi_0037,N
erupsi_0041,N
erupsi_0042,N
erupsi_0043,N
erupsi_0049,N
erupsi_0060,N
erupsi_0055,N
erupsi_0070,N
erupsi_0076,N
erupsi_0072,N
erupsi_0091,N
erupsi_0099,N
erupsi_0084,N
erupsi_0114,N
erupsi_0108,N
erupsi_0117,N
erupsi_0131,N
erupsi_0128,N
erupsi_0143,N
erupsi_0151,N
erupsi_0146,N
erupsi_0147,N
erupsi_0180,N
erupsi_0178,N
erupsi_0179,N
erupsi_0195,N
erupsi_0185,N
erupsi_0194,N
erupsi_0210,N
erupsi_0219,N
erupsi_0207,N
erupsi_0228,N
erupsi_0233,N
erupsi_0227,N
erupsi_0244,N
erupsi_0254,N
erupsi_0260,N
erupsi_0264,N
erupsi_0269,N
erupsi_0279,N
erupsi_0285,N
erupsi_0290,N
erupsi_0289,N
erupsi_0295,N
erupsi_0298,N
erupsi_0294,N
erupsi_0312,N
erupsi_0304,N
erupsi_0306,N
erupsi_0335,N
erupsi_0322,N
erupsi_0324,N
erupsi_0339,N
erupsi_0351,N
erupsi_0349,N
erupsi_0360,N
erupsi_0370,N
erupsi_0375,N
erupsi_0391,N
erupsi_0396,N
erupsi_0397,N
erupsi_0418,N
erupsi_0405,N
erupsi_0404,N
erupsi_0434,N
erupsi_0437,N
erupsi_0430,N
erupsi_0442,N
erupsi_0451,N
erupsi_0453,N
erupsi_0476,Y
erupsi_0466,N
erupsi_0471,N
erupsi_0494,N
erupsi_0486,N
erupsi_0488,N
erupsi_0503,N
erupsi_0512,N
erupsi_0504,N
erupsi_0529,N
erupsi_0526,N
erupsi_0530,N
erupsi_0538,N
erupsi_0533,N
erupsi_0532,N
erupsi_0555,N
erupsi_0554,N
erupsi_0550,N
erupsi_0563,N
erupsi_0564,N
erupsi_0573,N
erupsi_0571,N
erupsi_0578,N
erupsi_0585,N
erupsi_0588,N
erupsi_0589,N
erupsi_0602,Y
erupsi_0595,N
erupsi_0594,N
erupsi_0622,N
erupsi_0618,N
erupsi_0614,N
erupsi_0632,N
erupsi_0636,N
erupsi_0634,N
erupsi_0670,Y
erupsi_0655,N
erupsi_0657,N
erupsi_0688,N
erupsi_0679,N
erupsi_0682,N
erupsi_0691,N
erupsi_0696,N
erupsi_0695,N
erupsi_0708,N
erupsi_0717,Y
erupsi_0709,N
erupsi_0723,N
erupsi_0726,N
erupsi_0730,N
erupsi_0752,N
erupsi_0751,N
erupsi_0743,N
erupsi_0764,N
erupsi_0758,N
erupsi_0775,N
erupsi_0790,N
erupsi_0793,N
erupsi_0781,N
erupsi_0813,Y
erupsi_0810,N
erupsi_0816,N
erupsi_0837,N
erupsi_0827,N
erupsi_0829,N
erupsi_0838,N
erupsi_0839,N
erupsi_0841,N
erupsi_0852,N
erupsi_0850,N
erupsi_0863,N
erupsi_0867,N
erupsi_0861,N
erupsi_0885,N
erupsi_0899,N
erupsi_0883,N
erupsi_0900,N
erupsi_0905,N
erupsi_0902,N
erupsi_0908,N
erupsi_0909,N
erupsi_0910,N
erupsi_0925,N
erupsi_0924,N
erupsi_0919,N
erupsi_0946,N
erupsi_0938,N
erupsi_0943,N
erupsi_0963,N
erupsi_0961,N
erupsi_0964,N
erupsi_0978,N
erupsi_0982,N
erupsi_0971,N
erupsi_1008,N
erupsi_0993,N
erupsi_1003,N
erupsi_1029,N
erupsi_1015,N
erupsi_1024,N
erupsi_1038,N
erupsi_1032,N
erupsi_1035,N
erupsi_1061,N
erupsi_1054,N
erupsi_1056,N
erupsi_1072,N
erupsi_1083,N
erupsi_1087,N
erupsi_1069,N
erupsi_0334,N
erupsi_0699,N
erupsi_1007,N
erupsi_0853,N
erupsi_1060,N
erupsi_0367,N
erupsi_0449,N
erupsi_0685,N
erupsi_0490,N
erupsi_0928,N
erupsi_0366,N
erupsi_0678,N
erupsi_0572,N
erupsi_0315,N
erupsi_0479,N
