id,label
longsor_0002,N
longsor_0014,Y
longsor_0010,N
longsor_0034,N
longsor_0027,N
longsor_0033,N
longsor_0041,N
longsor_0044,N
longsor_0042,N
longsor_0055,N
longsor_0056,N
longsor_0047,N
longsor_0080,N
longsor_0065,N
longsor_0083,N
longsor_0085,Y
longsor_0099,N
longsor_0096,N
longsor_0123,N
longsor_0110,N
longsor_0112,N
longsor_0139,N
longsor_0136,N
longsor_0141,N
longsor_0164,N
longsor_0145,N
longsor_0159,N
longsor_0175,Y
longsor_0184,N
longsor_0170,Y
longsor_0199,N
longsor_0200,N
longsor_0196,N
longsor_0221,N
longsor_0209,Y
longsor_0224,N
longsor_0235,Y
longsor_0242,N
longsor_0241,N
longsor_0248,N
longsor_0245,N
longsor_0254,N
longsor_0275,N
longsor_0266,N
longsor_0273,N
longsor_0303,N
longsor_0301,N
longsor_0297,N
longsor_0308,Y
longsor_0311,N
longsor_0319,N
longsor_0335,N
longsor_0338,N
longsor_0337,N
longsor_0350,N
longsor_0346,N
longsor_0345,N
longsor_0367,N
longsor_0377,N
longsor_0366,N
longsor_0389,N
longsor_0403,N
longsor_0386,N
longsor_0418,N
longsor_0412,N
longsor_0410,N
longsor_0435,Y
longsor_0428,Y
longsor_0438,N
longsor_0463,N
longsor_0452,N
longsor_0464,N
longsor_0480,N
longsor_0479,N
longsor_0482,N
longsor_0498,N
longsor_0485,N
longsor_0489,N
longsor_0510,N
longsor_0509,N
longsor_0524,N
longsor_0544,N
longsor_0532,N
longsor_0535,N
longsor_0561,N
longsor_0559,N
longsor_0557,N
longsor_0579,N
longsor_0575,N
longsor_0568,N
longsor_0587,N
longsor_0586,N
longsor_0583,N
longsor_0617,Y
longsor_0608,N
longsor_0607,N
longsor_0626,N
longsor_0634,Y
longsor_0621,N
longsor_0646,Y
longsor_0649,N
longsor_0660,N
longsor_0675,Y
longsor_0664,N
longsor_0680,N
longsor_0697,N
longsor_0693,Y
longsor_0700,N
longsor_0716,Y
longsor_0710,N
longsor_0702,N
longsor_0731,Y
longsor_0721,N
longsor_0722,N
longsor_0745,N
longsor_0742,N
longsor_0752,N
longsor_0765,Y
longsor_0764,Y
longsor_0767,N
longsor_0772,N
longsor_0771,N
longsor_0786,N
longsor_0798,N
longsor_0793,N
longsor_0808,Y
longsor_0818,N
longsor_0826,N
longsor_0811,N
longsor_0840,Y
longsor_0837,N
longsor_0841,N
longsor_0866,N
longsor_0860,N
longsor_0857,N
longsor_0877,Y
longsor_0873,N
longsor_0884,Y
longsor_0910,Y
longsor_0896,N
longsor_0893,N
longsor_0913,N
longsor_0919,N
longsor_0916,N
longsor_0927,N
longsor_0937,Y
longsor_0925,N
longsor_0956,N
longsor_0960,N
longsor_0946,N
longsor_0966,N
longsor_0971,N
longsor_0976,N
longsor_0998,N
longsor_0989,N
longsor_0992,N
longsor_1004,N
longsor_1015,N
longsor_1007,N
longsor_1022,N
longsor_1025,N
longsor_1031,N
longsor_1042,N
longsor_1052,N
longsor_1043,N
longsor_1074,N
longsor_1069,N
longsor_1073,N
longsor_1083,N
longsor_1086,N
longsor_1082,N
longsor_1109,N
longsor_1107,N
longsor_1101,N
longsor_1124,N
longsor_1128,N
longsor_1136,N
longsor_1141,N
longsor_1154,N
longsor_1151,N
longsor_1172,N
longsor_1167,N
longsor_1163,N
longsor_1181,N
longsor_1187,N
longsor_1184,N
longsor_1204,N
longsor_1219,Y
longsor_1203,N
longsor_0070,N
longsor_0686,N
longsor_0723,N
longsor_0507,N
longsor_0192,Y
longsor_0260,N
longsor_0326,N
longsor_0605,N
longsor_0072,N
longsor_1131,N
longsor_0977,N
