id,indeks_sentence_token,selisih_depth,jarak_keyword_lokasi_undir,jarak_keyword_lokasi_dir,is_connect_to_key,part
tsunami_0001,"(0, 1)",1.0,1.0,1.0,True,train
tsunami_0001,"(0, 2)",2.0,2.0,2.0,True,train
tsunami_0001,"(1, 6)",0.0,2.0,1000000000.0,False,train
tsunami_0001,"(1, 7)",1.0,3.0,1000000000.0,False,train
tsunami_0001,"(1, 10)",2.0,4.0,1000000000.0,False,train
tsunami_0001,"(1, 11)",1.0,5.0,1000000000.0,False,train
tsunami_0001,"(1, 12)",0.0,6.0,1000000000.0,False,train
tsunami_0001,"(2, 5)",1000000000.0,1000000000.0,1000000000.0,False,train
tsunami_0001,"(2, 6)",1000000000.0,1000000000.0,1000000000.0,False,train
tsunami_0001,"(2, 8)",1000000000.0,1000000000.0,1000000000.0,False,train
tsunami_0001,"(2, 9)",1000000000.0,1000000000.0,1000000000.0,False,train
tsunami_0001,"(2, 11)",1000000000.0,1000000000.0,1000000000.0,False,train
tsunami_0001,"(2, 12)",1000000000.0,1000000000.0,1000000000.0,False,train
tsunami_0001,"(10, 15)",1000000000.0,1000000000.0,1000000000.0,False,train
tsunami_0001,"(10, 16)",1000000000.0,1000000000.0,1000000000.0,False,train
tsunami_0001,"(12, 7)",1000000000.0,1000000000.0,1000000000.0,False,train
tsunami_0001,"(12, 8)",1000000000.0,1000000000.0,1000000000.0,False,train
tsunami_0001,"(14, 5)",1000000000.0,1000000000.0,1000000000.0,False,train
tsunami_0001,"(14, 6)",1000000000.0,1000000000.0,1000000000.0,False,train
tsunami_0003,"(0, 6)",1.0,1.0,1.0,True,train
tsunami_0003,"(0, 7)",2.0,2.0,2.0,True,train
tsunami_0003,"(1, 6)",0.0,1.0,1.0,True,train
tsunami_0003,"(1, 11)",0.0,1.0,1.0,True,train
tsunami_0003,"(1, 12)",1.0,2.0,2.0,True,train
tsunami_0003,"(2, 3)",0.0,2.0,1000000000.0,False,train
tsunami_0003,"(2, 13)",2.0,6.0,1000000000.0,False,train
tsunami_0003,"(2, 31)",3.0,7.0,1000000000.0,False,train
tsunami_0003,"(3, 6)",1000000000.0,1000000000.0,1000000000.0,False,train
tsunami_0003,"(4, 25)",0.0,6.0,1000000000.0,False,train
tsunami_0023,"(0, 3)",1.0,1.0,1.0,True,train
tsunami_0023,"(1, 3)",1.0,1.0,1.0,True,train
tsunami_0023,"(2, 3)",1.0,1.0,1.0,True,train
tsunami_0023,"(2, 11)",0.0,1.0,1.0,True,train
