,0,1,2,3,4,5,6,7
bencana,an,ba,er,ge,ka,ke,lo,ts
title_ori_MLP_acc,0.865,0.795,0.865,0.82,0.82,0.765,0.79,0.805
title_ori_MLP_f1,0.7096774193548387,0.616822429906542,0.34146341463414637,0.5499999999999999,0.6170212765957447,0.584070796460177,0.43243243243243246,0.6355140186915889
text_ori_MLP_acc,0.86,0.85,0.86,0.875,0.78,0.875,0.8,0.835
text_ori_MLP_f1,0.641025641025641,0.6808510638297872,0.33333333333333337,0.6478873239436619,0.4054054054054054,0.6268656716417911,0.5121951219512195,0.6292134831460675
tc_ori_MLP_acc,0.8,0.85,0.87,0.865,0.815,0.865,0.8,0.825
tc_ori_MLP_f1,0.23076923076923078,0.6875000000000001,0.40909090909090906,0.608695652173913,0.5432098765432098,0.7032967032967034,0.5238095238095237,0.6153846153846155
filter_word_tc_MLP_acc,0.845,0.78,0.87,0.77,0.67,0.815,0.8,0.82
filter_word_tc_MLP_f1,0.5974025974025974,0.5,0.5185185185185185,0.0,0.5822784810126583,0.5842696629213484,0.574468085106383,0.6666666666666665
textrank_MLP_acc,0.86,0.825,0.855,0.8,0.8,0.835,0.77,0.85
textrank_MLP_f1,0.65,0.6067415730337079,0.45283018867924524,0.25925925925925924,0.5238095238095237,0.2978723404255319,0.34285714285714286,0.6590909090909091
trunc_first_short_MLP_acc,0.875,0.825,0.855,0.825,0.82,0.84,0.815,0.84
trunc_first_short_MLP_f1,0.7474747474747474,0.7286821705426356,0.25641025641025644,0.4067796610169491,0.7049180327868853,0.30434782608695654,0.5542168674698795,0.6363636363636365
trunc_last_short_MLP_acc,0.82,0.81,0.875,0.775,0.7,0.795,0.77,0.755
trunc_last_short_MLP_f1,0.41935483870967744,0.5365853658536585,0.5454545454545455,0.11764705882352941,0.4915254237288136,0.5858585858585859,0.30303030303030304,0.5811965811965812
trunc_first_long_MLP_acc,0.86,0.865,0.86,0.85,0.83,0.855,0.8,0.8
trunc_first_long_MLP_f1,0.688888888888889,0.7326732673267328,0.3,0.5588235294117647,0.721311475409836,0.4081632653061224,0.6226415094339622,0.5744680851063831
trunc_last_long_MLP_acc,0.83,0.83,0.86,0.79,0.77,0.865,0.795,0.82
trunc_last_long_MLP_f1,0.48484848484848486,0.6222222222222222,0.33333333333333337,0.125,0.3783783783783784,0.6896551724137931,0.4225352112676056,0.5135135135135135
trunc_combination_MLP_acc,0.85,0.85,0.875,0.805,0.805,0.805,0.81,0.84
trunc_combination_MLP_f1,0.6341463414634146,0.6739130434782609,0.46808510638297873,0.2909090909090909,0.49350649350649356,0.6355140186915887,0.5581395348837209,0.6521739130434783
sum_indobart_MLP_acc,0.86,0.87,0.85,0.845,0.79,0.88,0.775,0.87
sum_indobart_MLP_f1,0.6,0.7592592592592593,0.21052631578947367,0.5633802816901408,0.5434782608695653,0.5714285714285713,0.48275862068965514,0.6666666666666667
sum_liputan6_MLP_acc,0.885,0.835,0.885,0.85,0.785,0.845,0.77,0.84
sum_liputan6_MLP_f1,0.6933333333333332,0.6732673267326733,0.5106382978723405,0.6250000000000001,0.6446280991735538,0.4150943396226415,0.5964912280701753,0.69811320754717
sum_pegasus_MLP_acc,0.77,0.785,0.87,0.785,0.74,0.835,0.74,0.755
sum_pegasus_MLP_f1,0.08,0.6504065040650405,0.45833333333333326,0.0851063829787234,0.13333333333333333,0.3529411764705882,0.1875,0.0392156862745098
