ID,Name
11.01,ACEH SELATAN
11.02,ACEH TENGGARA
11.03,ACEH TIMUR
11.04,ACEH TENGAH
11.05,ACEH BARAT
11.06,ACEH BESAR
11.07,PIDIE
11.08,ACEH UTARA
11.09,SIMEULUE
11.10,ACEH SINGKIL
11.11,BIREUEN
11.12,ACEH BARAT DAYA
11.13,GAYO LUES
11.14,ACEH JAYA
11.15,NAGAN RAYA
11.16,ACEH TAMIANG
11.17,BENER MERIAH
11.18,PIDIE JAYA
11.71,BANDA ACEH
11.72,SABANG
11.73,LHOKSEUMAWE
11.74,LANGSA
11.75,SUBULUSSALAM
12.01,TAPANULI TENGAH
12.02,TAPANULI UTARA
12.03,TAPANULI SELATAN
12.04,NIAS
12.05,LANGKAT
12.06,KARO
12.07,DELI SERDANG
12.08,SIMALUNGUN
12.09,ASAHAN
12.10,LABUHANBATU
12.11,DAIRI
12.12,TOBA SAMOSIR
12.13,MANDAILING NATAL
12.14,NIAS SELATAN
12.15,PAKPAK BHARAT;
12.16,HUMBANG HASUNDUTAN
12.17,SAMOSIR
12.18,SERDANG BEDAGAI
12.19,BATU BARA
12.20,PADANG LAWAS UTARA
12.21,PADANG LAWAS
12.22,LABUHANBATU SELATAN
12.23,LABUHANBATU UTARA
12.24,NIAS UTARA
12.25,NIAS BARAT
12.71,MEDAN
12.72,PEMATANGSIANTAR
12.73,SIBOLGA
12.74,TANJUNG BALAI
12.75,BINJAI
12.76,TEBING TINGGI
12.77,PADANGSIDIMPUAN
12.78,GUNUNGSITOLI
13.01,PESISIR SELATAN
13.02,SOLOK
13.03,SIJUNJUNG
13.04,TANAH DATAR
13.05,PADANG PARIAMAN
13.06,AGAM
13.07,LIMA PULUH KOTA
13.08,PASAMAN
13.09,KEPULAUAN MENTAWAI
13.10,DHARMASRAYA
13.11,SOLOK SELATAN
13.12,PASAMAN BARAT
13.71,PADANG
13.72,SOLOK
13.73,SAWAHLUNTO
13.74,PADANG PANJANG
13.75,BUKITTINGGI
13.76,PAYAKUMBUH
13.77,PARIAMAN
14.01,KAMPAR
14.02,INDRAGIRI HULU
14.03,BENGKALIS
14.04,INDRAGIRI HILIR
14.05,PELALAWAN
14.06,ROKAN HULU
14.07,ROKAN HILIR
14.08,SIAK
14.09,KUANTAN SINGINGI
14.10,KEPULAUAN MERANTI
14.71,PEKANBARU
14.72,DUMAI
15.01,KERINCI
15.02,MERANGIN
15.03,SAROLANGUN
15.04,BATANGHARI
15.05,MUARO JAMBI
15.06,TANJUNG JABUNG BARAT
15.07,TANJUNG JABUNG TIMUR
15.08,BUNGO
15.09,TEBO
15.71,JAMBI
15.72,SUNGAI PENUH
16.01,OGAN KOMERING ULU
16.02,OGAN KOMERING ILIR
16.03,MUARA ENIM
16.04,LAHAT
16.05,MUSI RAWAS
16.06,MUSI BANYUASIN
16.07,BANYUASIN
16.08,OGAN KOMERING ULU TIMUR
16.09,OGAN KOMERING ULU SELATAN
16.10,OGAN ILIR
16.11,EMPAT LAWANG
16.12,PENUKAL ABAB LEMATANG ILIR
16.13,MUSI RAWAS UTARA
16.71,PALEMBANG
16.72,PAGAR ALAM
16.73,LUBUK LINGGAU
16.74,PRABUMULIH
17.01,BENGKULU SELATAN
17.02,REJANG LEBONG
17.03,BENGKULU UTARA
17.04,KAUR
17.05,SELUMA
17.06,MUKO MUKO
17.07,LEBONG
17.08,KEPAHIANG
17.09,BENGKULU TENGAH
17.71,BENGKULU
18.01,LAMPUNG SELATAN
18.02,LAMPUNG TENGAH
18.03,LAMPUNG UTARA
18.04,LAMPUNG BARAT
18.05,TULANG BAWANG
18.06,TANGGAMUS
18.07,LAMPUNG TIMUR
18.08,WAY KANAN
18.09,PESAWARAN
18.10,PRINGSEWU
18.11,MESUJI
18.12,TULANG BAWANG BARAT
18.13,PESISIR BARAT
18.71,BANDAR LAMPUNG
18.72,METRO
19.01,BANGKA
19.02,BELITUNG
19.03,BANGKA SELATAN
19.04,BANGKA TENGAH
19.05,BANGKA BARAT
19.06,BELITUNG TIMUR
19.71,PANGKAL PINANG
21.01,BINTAN
21.02,KARIMUN
21.03,NATUNA
21.04,LINGGA
21.05,KEPULAUAN ANAMBAS
21.71,BATAM
21.72,TANJUNG PINANG
31.01,KEPULAUAN SERIBU
31.71,JAKARTA PUSAT
31.72,JAKARTA UTARA
31.73,JAKARTA BARAT
31.74,JAKARTA SELATAN
31.75,JAKARTA TIMUR
32.01,BOGOR
32.02,SUKABUMI
32.03,CIANJUR
32.04,BANDUNG
32.05,GARUT
32.06,TASIKMALAYA
32.07,CIAMIS
32.08,KUNINGAN
32.09,CIREBON
32.10,MAJALENGKA
32.11,SUMEDANG
32.12,INDRAMAYU
32.13,SUBANG
32.14,PURWAKARTA
32.15,KARAWANG
32.16,BEKASI
32.17,BANDUNG BARAT
32.18,PANGANDARAN
32.71,BOGOR
32.72,SUKABUMI
32.73,BANDUNG
32.74,CIREBON
32.75,BEKASI
32.76,DEPOK
32.77,CIMAHI
32.78,TASIKMALAYA
32.79,BANJAR
33.01,CILACAP
33.02,BANYUMAS
33.03,PURBALINGGA
33.04,BANJARNEGARA
33.05,KEBUMEN
33.06,PURWOREJO
33.07,WONOSOBO
33.08,MAGELANG
33.09,BOYOLALI
33.10,KLATEN
33.11,SUKOHARJO
33.12,WONOGIRI
33.13,KARANGANYAR
33.14,SRAGEN
33.15,GROBOGAN
33.16,BLORA
33.17,REMBANG
33.18,PATI
33.19,KUDUS
33.20,JEPARA
33.21,DEMAK
33.22,SEMARANG
33.23,TEMANGGUNG
33.24,KENDAL
33.25,BATANG
33.26,PEKALONGAN
33.27,PEMALANG
33.28,TEGAL
33.29,BREBES
33.71,MAGELANG
33.72,SURAKARTA
33.73,SALATIGA
33.74,SEMARANG
33.75,PEKALONGAN
33.76,TEGAL
34.01,KULON PROGO
34.02,BANTUL
34.03,GUNUNGKIDUL
34.04,SLEMAN
34.71,YOGYAKARTA
35.01,PACITAN
35.02,PONOROGO
35.03,TRENGGALEK
35.04,TULUNGAGUNG
35.05,BLITAR
35.06,KEDIRI
35.07,MALANG
35.08,LUMAJANG
35.09,JEMBER
35.10,BANYUWANGI
35.11,BONDOWOSO
35.12,SITUBONDO
35.13,PROBOLINGGO
35.14,PASURUAN
35.15,SIDOARJO
35.16,MOJOKERTO
35.17,JOMBANG
35.18,NGANJUK
35.19,MADIUN
35.20,MAGETAN
35.21,NGAWI
35.22,BOJONEGORO
